# Region type :   patch inlet
# Faces           : 1225
# Area            : 3.0625000000e+00
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
0.01              	-3.0625000000e+00
# Region type :   patch inlet
# Faces           : 1225
# Area            : 3.0625000000e+00
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
0.02              	-3.0625000000e+00
# Region type :   patch inlet
# Faces           : 1225
# Area            : 3.0625000000e+00
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
0.03              	-3.0625000000e+00
# Region type :   patch inlet
# Faces           : 1225
# Area            : 3.0625000000e+00
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
0.04              	-3.0625000000e+00
# Region type :   patch inlet
# Faces           : 1225
# Area            : 3.0625000000e+00
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
0.05              	-3.0625000000e+00
# Region type :   patch inlet
# Faces           : 1225
# Area            : 3.0625000000e+00
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
0.06              	-3.0625000000e+00
# Region type :   patch inlet
# Faces           : 1225
# Area            : 3.0625000000e+00
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
0.07              	-3.0625000000e+00
# Region type :   patch inlet
# Faces           : 1225
# Area            : 3.0625000000e+00
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
0.08              	-3.0625000000e+00
# Region type :   patch inlet
# Faces           : 1225
# Area            : 3.0625000000e+00
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
0.09              	-3.0625000000e+00
# Region type :   patch inlet
# Faces           : 1225
# Area            : 3.0625000000e+00
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
0.1               	-3.0625000000e+00
# Region type :   patch inlet
# Faces           : 1225
# Area            : 3.0625000000e+00
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
0.11              	-3.0625000000e+00
# Region type :   patch inlet
# Faces           : 1225
# Area            : 3.0625000000e+00
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
0.12              	-3.0625000000e+00
# Region type :   patch inlet
# Faces           : 1225
# Area            : 3.0625000000e+00
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
0.13              	-3.0625000000e+00
# Region type :   patch inlet
# Faces           : 1225
# Area            : 3.0625000000e+00
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
0.14              	-3.0625000000e+00
# Region type :   patch inlet
# Faces           : 1225
# Area            : 3.0625000000e+00
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
0.15              	-3.0625000000e+00
# Region type :   patch inlet
# Faces           : 1225
# Area            : 3.0625000000e+00
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
0.16              	-3.0625000000e+00
# Region type :   patch inlet
# Faces           : 1225
# Area            : 3.0625000000e+00
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
0.17              	-3.0625000000e+00
# Region type :   patch inlet
# Faces           : 1225
# Area            : 3.0625000000e+00
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
0.18              	-3.0625000000e+00
# Region type :   patch inlet
# Faces           : 1225
# Area            : 3.0625000000e+00
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
0.19              	-3.0625000000e+00
# Region type :   patch inlet
# Faces           : 1225
# Area            : 3.0625000000e+00
# Scale factor    : 1.0000000000e+00
# Time            	sum(phi)
