# Field minima and maxima
# Time            	field             	min               	location(min)     	max               	location(max)     
0.01              	nut               	6.6606509691e-04	(-2.0800000000e-01 7.5000000000e-01 7.5000000000e-01)	6.6666666667e-04	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.01              	U                 	(1.0000000000e+00 -3.0382367352e-17 -1.7218122947e-17)	(-2.5800000000e-01 -4.0000000000e-01 -8.0000000000e-01)	(1.0000000000e+00 1.3432201747e-17 -2.8128396473e-19)	(-1.0800000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.01              	k                 	9.8684107923e-03	(7.9200000000e-01 7.5000000000e-01 7.5000000000e-01)	1.0000000000e-02	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.01              	p                 	-2.6191392072e-16	(1.0920000000e+00 -8.5000000000e-01 8.0000000000e-01)	8.9261210034e-15	(-5.5800000000e-01 8.5000000000e-01 -3.5000000000e-01)
0.01              	omega             	1.4815985461e+01	(3.4200000000e-01 7.5000000000e-01 7.5000000000e-01)	1.5000000000e+01	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.02              	nut               	6.6547004512e-04	(-2.0800000000e-01 7.5000000000e-01 7.5000000000e-01)	6.6666666667e-04	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.02              	U                 	(1.0000000000e+00 -1.2699686482e-16 -3.3108379237e-17)	(-5.5800000000e-01 -2.0000000000e-01 8.5000000000e-01)	(1.0000000000e+00 7.6011795246e-17 7.6701825555e-17)	(-5.5800000000e-01 -2.5000000000e-01 -8.0000000000e-01)
0.02              	k                 	9.7401064356e-03	(7.9200000000e-01 7.5000000000e-01 7.5000000000e-01)	1.0000000000e-02	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.02              	p                 	-3.9207362727e-15	(3.4200000000e-01 8.0000000000e-01 -3.5000000000e-01)	4.4220977271e-15	(-5.5800000000e-01 4.0000000000e-01 -6.5000000000e-01)
0.02              	omega             	1.4636431053e+01	(3.4200000000e-01 7.5000000000e-01 7.5000000000e-01)	1.5000000000e+01	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.03              	nut               	6.6488138255e-04	(-2.0800000000e-01 7.5000000000e-01 7.5000000000e-01)	6.6666666667e-04	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.03              	U                 	(1.0000000000e+00 -2.7822062462e-17 -1.6319512446e-16)	(-5.5800000000e-01 -7.5000000000e-01 -3.5000000000e-01)	(1.0000000000e+00 8.4803048892e-17 9.3123120705e-17)	(-5.5800000000e-01 -2.5000000000e-01 6.5000000000e-01)
0.03              	k                 	9.6149670728e-03	(6.4200000000e-01 7.5000000000e-01 7.5000000000e-01)	1.0000000000e-02	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.03              	p                 	0.0000000000e+00	(1.1670000000e+00 -8.5000000000e-01 -8.5000000000e-01)	5.1715089798e-14	(-5.5800000000e-01 3.5000000000e-01 2.5000000000e-01)
0.03              	omega             	1.4461176561e+01	(9.4200000000e-01 7.5000000000e-01 7.5000000000e-01)	1.5000000000e+01	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.04              	nut               	6.6429898389e-04	(-2.0800000000e-01 7.5000000000e-01 7.5000000000e-01)	6.6666666667e-04	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.04              	U                 	(1.0000000000e+00 -5.8626067077e-17 -8.6581080871e-17)	(3.9200000000e-01 6.5000000000e-01 -8.5000000000e-01)	(1.0000000000e+00 6.7651246458e-17 2.0999769364e-17)	(3.9200000000e-01 -7.5000000000e-01 -7.0000000000e-01)
0.04              	k                 	9.4928785690e-03	(8.4200000000e-01 7.5000000000e-01 7.5000000000e-01)	1.0000000000e-02	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.04              	p                 	-3.9435193426e-14	(-3.0800000000e-01 6.0000000000e-01 8.5000000000e-01)	8.4742178585e-16	(1.0920000000e+00 -8.5000000000e-01 -6.0000000000e-01)
0.04              	omega             	1.4290069354e+01	(9.4200000000e-01 7.5000000000e-01 7.5000000000e-01)	1.5000000000e+01	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.05              	nut               	6.6372272714e-04	(-2.0800000000e-01 7.5000000000e-01 7.5000000000e-01)	6.6666666667e-04	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.05              	U                 	(1.0000000000e+00 -1.3539564606e-16 -1.1269894945e-16)	(-5.5800000000e-01 -5.0000000000e-01 -4.5000000000e-01)	(1.0000000000e+00 1.6184962309e-16 4.9455672506e-17)	(-2.0800000000e-01 -7.0000000000e-01 -8.5000000000e-01)
0.05              	k                 	9.3737321756e-03	(8.4200000000e-01 7.5000000000e-01 7.5000000000e-01)	1.0000000000e-02	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.05              	p                 	-2.0310539820e-14	(-2.5800000000e-01 -7.5000000000e-01 -6.0000000000e-01)	4.2125558648e-15	(-5.8000000000e-02 7.5000000000e-01 8.5000000000e-01)
0.05              	omega             	1.4122963939e+01	(9.4200000000e-01 7.5000000000e-01 7.5000000000e-01)	1.5000000000e+01	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.06              	nut               	6.6315249291e-04	(-2.0800000000e-01 7.5000000000e-01 7.5000000000e-01)	6.6666666667e-04	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.06              	U                 	(1.0000000000e+00 -7.6799859753e-17 -1.9076060859e-16)	(1.0920000000e+00 -8.5000000000e-01 -7.0000000000e-01)	(1.0000000000e+00 1.8676243698e-16 1.6835774839e-16)	(-5.5800000000e-01 -4.0000000000e-01 0.0000000000e+00)
0.06              	k                 	9.2574242177e-03	(1.0920000000e+00 7.5000000000e-01 7.5000000000e-01)	1.0000000000e-02	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.06              	p                 	-7.2453950551e-15	(-5.0800000000e-01 2.0000000000e-01 6.5000000000e-01)	6.0432679950e-15	(5.9200000000e-01 -3.0000000000e-01 -5.5000000000e-01)
0.06              	omega             	1.3959721550e+01	(7.9200000000e-01 7.5000000000e-01 7.5000000000e-01)	1.5000000000e+01	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.07              	nut               	6.6258816514e-04	(-2.5800000000e-01 7.0000000000e-01 7.0000000000e-01)	6.6666666667e-04	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.07              	U                 	(1.0000000000e+00 -9.2643875160e-17 -1.7904309256e-16)	(-5.5800000000e-01 -7.5000000000e-01 -7.5000000000e-01)	(1.0000000000e+00 1.0065402639e-16 1.8149143750e-16)	(-5.5800000000e-01 7.0000000000e-01 -3.0000000000e-01)
0.07              	k                 	9.1438558024e-03	(1.0920000000e+00 7.5000000000e-01 7.5000000000e-01)	1.0000000000e-02	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.07              	p                 	-9.4901212081e-15	(-4.0800000000e-01 3.0000000000e-01 -3.0000000000e-01)	6.0146320548e-16	(1.0920000000e+00 -7.5000000000e-01 -8.5000000000e-01)
0.07              	omega             	1.3800209763e+01	(9.4200000000e-01 7.5000000000e-01 7.5000000000e-01)	1.5000000000e+01	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.08              	nut               	6.6202962821e-04	(-2.5800000000e-01 7.0000000000e-01 7.0000000000e-01)	6.6666666667e-04	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.08              	U                 	(1.0000000000e+00 -1.2217254101e-16 -2.4141496294e-16)	(-5.5800000000e-01 -7.5000000000e-01 -7.5000000000e-01)	(1.0000000000e+00 5.1624495038e-17 2.2784785809e-16)	(-3.0800000000e-01 8.5000000000e-01 5.0000000000e-01)
0.08              	k                 	9.0329325476e-03	(1.0920000000e+00 7.5000000000e-01 7.5000000000e-01)	1.0000000000e-02	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.08              	p                 	-6.9398626091e-15	(-5.5800000000e-01 8.5000000000e-01 8.0000000000e-01)	6.8430366065e-16	(1.0920000000e+00 -4.0000000000e-01 -8.5000000000e-01)
0.08              	omega             	1.3644302139e+01	(9.4200000000e-01 7.5000000000e-01 7.5000000000e-01)	1.5000000000e+01	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.09              	nut               	6.6147677296e-04	(-2.5800000000e-01 7.0000000000e-01 7.0000000000e-01)	6.6666666667e-04	(-5.8300000000e-01 -8.5000000000e-01 -8.5000000000e-01)
0.09              	U                 	(1.0000000000e+00 -1.8428109166e-16 -2.4005244733e-16)	(-5.5800000000e-01 -7.5000000000e-01 -7.5000000000e-01)	(1.0000000000e+00 6.1000955755e-17 2.1598971574e-16)	(2.4200000000e-01 5.0000000000e-01 -7.0000000000e-01)
